place_id,place_name,date,time_of_day,avg_temp,max_temp,min_temp,avg_humidity,avg_windspeed,avg_pressure,pressure_change,avg_visibility,rain_half_hours,snow_half_hours,thunder_half_hours,fog_half_hours,bad_weather_half_hours,severe_weather_half_hours,trip_count,predominant_temperature_bin,month,month_str,weekend,trip_count_lag1,residuals
515,Fővám tér,2015-01-01,Early Afternoon,-3.0,-3.0,-3.0,64.0,9.3,1034.0,0,8.0,0,0,0,0,0,0,1,Very Cold,1,Jan,0,3.0,-1.443823556030896
515,Fővám tér,2015-01-01,Late Night,-8.0,-8.0,-8.0,79.0,3.7,1036.0,0,4.0,0,0,0,0,0,0,1,Very Cold,1,Jan,0,1.0,-0.43766628481783143
515,Fővám tér,2015-01-02,Afternoon Rush Hour,0.0,0.0,0.0,87.0,5.6,1027.0,0,5.0,0,0,0,0,0,0,2,Cold,1,Jan,0,1.0,-0.16200696085306365
515,Fővám tér,2015-01-02,Early Afternoon,1.0,1.0,1.0,81.0,7.4,1027.0,0,7.0,0,0,0,0,0,0,1,Cold,1,Jan,0,2.0,-1.55066808446057
515,Fővám tér,2015-01-02,Morning,-3.0,-3.0,-3.0,100.0,7.400000000000001,1031.0,0,0.6,0,0,0,0,0,0,3,Very Cold,1,Jan,0,1.0,1.4247038681123965
515,Fővám tér,2015-01-02,Morning Rush Hour,-3.0,-3.0,-3.0,100.0,6.5,1031.5,1,0.25,0,0,0,2,2,0,2,Very Cold,1,Jan,0,3.0,0.17950972308630986
515,Fővám tér,2015-01-02,Night,1.0,1.0,1.0,98.25,9.25,1026.0,0,2.5,1,0,0,1,1,1,4,Cold,1,Jan,0,2.0,2.0419721852255135
515,Fővám tér,2015-01-03,Afternoon Rush Hour,3.0,3.0,3.0,65.0,13.0,1022.0,0,9.850953206239168,0,0,0,0,0,0,2,Cold,1,Jan,1,4.0,-0.4401458093554593
515,Fővám tér,2015-01-03,Early Afternoon,5.6,6.0,5.0,54.6,27.060000000000002,1026.2,2,10.0,0,0,0,0,0,0,5,Cold,1,Jan,1,2.0,-0.5879336940551898
515,Fővám tér,2015-01-03,Late Night,4.0,4.0,4.0,93.0,22.2,1026.0,0,5.0,0,0,0,0,0,0,2,Cold,1,Jan,1,5.0,0.04183801018885758
515,Fővám tér,2015-01-03,Morning Rush Hour,3.0,3.0,3.0,65.0,17.6,1028.0,0,9.925476603119584,0,0,0,0,0,0,2,Cold,1,Jan,1,2.0,0.45398571994594406
515,Fővám tér,2015-01-04,Afternoon Rush Hour,4.0,4.0,4.0,65.0,44.4,1018.0,0,9.850953206239168,0,0,0,0,0,0,2,Cold,1,Jan,1,2.0,-0.3029845954590189
515,Fővám tér,2015-01-04,Evening,2.0,2.0,2.0,70.0,37.0,1019.0,0,9.850953206239168,0,0,0,0,0,0,2,Cold,1,Jan,1,2.0,-0.02555250730929215
515,Fővám tér,2015-01-04,Morning,2.0,2.0,2.0,87.0,29.6,1015.0,0,10.0,0,0,0,0,0,0,1,Cold,1,Jan,1,2.0,-0.48798501398695504
515,Fővám tér,2015-01-04,Night,1.0,1.0,1.0,75.0,20.4,1020.0,0,10.0,0,0,0,0,0,0,1,Cold,1,Jan,1,1.0,-0.7086357304676443
515,Fővám tér,2015-01-05,Afternoon Rush Hour,2.0,2.0,2.0,87.0,31.5,1020.0,0,10.0,0,0,0,0,0,0,2,Cold,1,Jan,0,1.0,0.10814341560670582
515,Fővám tér,2015-01-05,Early Afternoon,2.25,3.0,1.0,66.25,19.0,1022.5,2,8.888214904679376,1,0,0,0,1,0,4,Cold,1,Jan,0,2.0,-1.6535748048869428
515,Fővám tér,2015-01-05,Morning,2.0,2.0,2.0,56.0,23.15,1023.5,1,9.925476603119584,0,0,0,0,0,0,2,Cold,1,Jan,0,4.0,-0.19950443701509846
515,Fővám tér,2015-01-06,Afternoon Rush Hour,-1.5,0.0,-3.0,62.0,12.95,1024.5,1,9.850953206239168,0,0,0,0,0,0,2,Cold,1,Jan,0,2.0,-1.9512823013163567
515,Fővám tér,2015-01-06,Early Afternoon,3.0,3.0,3.0,40.5,15.275,1024.0,0,10.0,0,0,0,0,0,0,4,Cold,1,Jan,0,2.0,0.9592505473658961
515,Fővám tér,2015-01-06,Evening,-2.0,-2.0,-2.0,66.5,13.9,1027.0,0,9.850953206239168,0,0,0,0,0,0,2,Very Cold,1,Jan,0,4.0,0.107344165232518
515,Fővám tér,2015-01-06,Morning,1.0,1.0,1.0,56.0,18.5,1024.0,0,9.850953206239168,0,0,0,0,0,0,1,Cold,1,Jan,0,2.0,-0.7347718214636696
515,Fővám tér,2015-01-06,Night,-6.0,-6.0,-6.0,71.5,5.6000000000000005,1030.0,0,9.335999391323337,0,0,0,0,0,0,2,Very Cold,1,Jan,0,1.0,0.568134978053678
515,Fővám tér,2015-01-07,Afternoon Rush Hour,-6.0,-6.0,-6.0,63.0,11.1,1035.0,0,10.0,0,0,0,0,0,0,1,Very Cold,1,Jan,0,2.0,-0.8147915258469409
515,Fővám tér,2015-01-07,Early Afternoon,-6.0,-6.0,-6.0,58.0,11.1,1034.0,0,9.850953206239168,0,0,0,0,0,0,3,Very Cold,1,Jan,0,1.0,0.8648231415997234
515,Fővám tér,2015-01-07,Evening,-6.0,-6.0,-6.0,68.0,8.033333333333333,1035.0,0,10.0,0,0,0,0,0,0,3,Very Cold,1,Jan,0,3.0,1.2994394956665376
515,Fővám tér,2015-01-07,Night,-6.0,-6.0,-6.0,63.0,9.3,1035.0,0,10.0,0,0,0,0,0,0,1,Very Cold,1,Jan,0,3.0,-0.5155987464668035
515,Fővám tér,2015-01-08,Afternoon Rush Hour,-4.0,-4.0,-4.0,69.0,14.8,1034.0,0,10.0,0,0,0,0,0,0,1,Very Cold,1,Jan,0,1.0,-0.8575691310249562
